1.50E-06,1.94E-01,9.21E-04
1.50E-06,1.93E-01,1.12E-03
1.51E-06,2.04E-01,1.18E-03
1.52E-06,2.09E-01,1.22E-03
1.52E-06,2.09E-01,1.21E-03
1.53E-06,2.12E-01,1.23E-03
1.53E-06,2.06E-01,1.18E-03
1.53E-06,2.07E-01,1.19E-03
1.54E-06,2.16E-01,1.24E-03
1.55E-06,2.17E-01,1.23E-03
1.55E-06,2.28E-01,1.28E-03
1.55E-06,2.23E-01,1.25E-03
1.56E-06,2.30E-01,1.28E-03
1.57E-06,2.29E-01,1.28E-03
1.57E-06,2.33E-01,1.28E-03
1.57E-06,2.33E-01,1.27E-03
1.58E-06,2.28E-01,1.23E-03
1.59E-06,2.29E-01,1.24E-03
1.59E-06,2.38E-01,1.28E-03
1.59E-06,2.36E-01,1.26E-03
1.60E-06,2.34E-01,1.25E-03
1.60E-06,2.33E-01,1.25E-03
1.61E-06,2.31E-01,1.23E-03
1.61E-06,2.37E-01,1.28E-03
1.62E-06,2.39E-01,1.28E-03
