1.500000000000000038e-06,2.320247627013454494e-01,1.101438310000000002e-03
1.504999999999999990e-06,2.081966293249562783e-01,1.203056890000000004e-03
1.509999999999999942e-06,1.932235456611213764e-01,1.116043070000000094e-03
1.515000000000000106e-06,2.020785951268296021e-01,1.176613730000000083e-03
1.520000000000000058e-06,2.070696230239230107e-01,1.201762120000000053e-03
1.525000000000000010e-06,2.085186311253673375e-01,1.205630600000000057e-03
1.529999999999999963e-06,2.109336446301037504e-01,1.209758800000000070e-03
1.534999999999999915e-06,2.057816158235100112e-01,1.181409229999999966e-03
1.540000000000000079e-06,2.117386491323355324e-01,1.213343699999999995e-03
1.545000000000000031e-06,2.189836896674166034e-01,1.241734129999999894e-03
1.549999999999999983e-06,2.157636716484618022e-01,1.215259079999999898e-03
1.554999999999999935e-06,2.257457275252061357e-01,1.265757140000000041e-03
1.559999999999999887e-06,2.247797221154336778e-01,1.251699640000000042e-03
1.565000000000000051e-06,2.317027608969022545e-01,1.290515880000000061e-03
1.570000000000000003e-06,2.341177744316667031e-01,1.287785590000000086e-03
1.574999999999999955e-06,2.325077654081207923e-01,1.265721050000000051e-03
1.579999999999999907e-06,2.320247627013454494e-01,1.258386179999999941e-03
1.585000000000000071e-06,2.276777383462920135e-01,1.236660870000000096e-03
1.590000000000000023e-06,2.331517690173612878e-01,1.253048660000000061e-03
1.594999999999999975e-06,2.355667825541307159e-01,1.257858470000000010e-03
1.599999999999999928e-06,2.334737708220703534e-01,1.245514610000000031e-03
1.604999999999999880e-06,2.308977563860512838e-01,1.235131169999999961e-03
1.610000000000000044e-06,2.313807590925178459e-01,1.238172409999999937e-03
1.614999999999999996e-06,2.305757545818134802e-01,1.238777300000000036e-03
1.619999999999999948e-06,2.381427969970725811e-01,1.271146120000000079e-03
