1.500000000000000038e-06,1.946725537530258898e-01,9.241246758007076213e-04
1.504999999999999990e-06,1.908085321767218623e-01,1.102580383026766043e-03
1.509999999999999942e-06,2.019175942271240753e-01,1.166259168763387382e-03
1.515000000000000106e-06,2.088406329258300775e-01,1.215986066847895338e-03
1.520000000000000058e-06,2.072306239240321035e-01,1.202696514819536888e-03
1.525000000000000010e-06,2.109336446301037504e-01,1.219593928672404971e-03
1.529999999999999963e-06,2.057816158235100112e-01,1.180210587349713467e-03
1.534999999999999915e-06,2.090016338260808348e-01,1.199895618950633886e-03
1.540000000000000079e-06,2.167296770535778183e-01,1.241944204960143509e-03
1.545000000000000031e-06,2.209157004814177316e-01,1.252689483665461604e-03
1.549999999999999983e-06,2.278387392481424356e-01,1.283270230487067133e-03
1.554999999999999935e-06,2.191446905685075774e-01,1.228745101052719632e-03
1.559999999999999887e-06,2.276777383462920135e-01,1.267837420751489162e-03
1.565000000000000051e-06,2.276777383462920135e-01,1.268097694308928857e-03
1.570000000000000003e-06,2.333127699197083960e-01,1.283357591259189122e-03
1.574999999999999955e-06,2.337957726268388159e-01,1.272732677531758939e-03
1.579999999999999907e-06,2.276777383462920135e-01,1.234810095668157455e-03
1.585000000000000071e-06,2.268727338372556190e-01,1.232288384645350730e-03
1.590000000000000023e-06,2.354057816515748580e-01,1.265162604161041739e-03
1.594999999999999975e-06,2.387868006084140349e-01,1.275052434867276997e-03
1.599999999999999928e-06,2.366937888724422734e-01,1.262692469046352477e-03
1.604999999999999880e-06,2.350837798465081618e-01,1.257523280409756587e-03
1.610000000000000044e-06,2.310587572881921403e-01,1.236449303240172480e-03
1.614999999999999996e-06,2.399138069288491160e-01,1.288946353093632907e-03
1.619999999999999948e-06,2.368547897751184517e-01,1.264271062667322908e-03
